,city_state,pop
0,"New York, NY","8,336,817"
1,"Los Angeles, CA","3,979,576"
2,"Chicago, IL","2,693,976"
3,"Houston, TX","2,320,268"
4,"Phoenix, AZ","1,680,992"
5,"Philadelphia, PA","1,584,064"
6,"San Antonio, TX","1,547,253"
7,"San Diego, CA","1,423,851"
8,"Dallas, TX","1,343,573"
9,"San Jose, CA","1,021,795"
10,"Austin, TX","978,908"
11,"Jacksonville, FL","911,507"
12,"Fort Worth, TX","909,585"
13,"Columbus, OH","898,553"
14,"Charlotte, NC","885,708"
15,"San Francisco, CA","881,549"
16,"Indianapolis  (balance), IN","876,384"
17,"Seattle, WA","753,675"
18,"Denver, CO","727,211"
19,"Washington, DC","705,749"
20,"Boston, MA","692,600"
21,"El Paso, TX","681,728"
22,"Nashville-Davidson metropolitan government (balance), TN","670,820"
23,"Detroit, MI","670,031"
24,"Oklahoma City, OK","655,057"
25,"Portland, OR","654,741"
26,"Las Vegas, NV","651,319"
27,"Memphis, TN","651,073"
28,"Louisville/Jefferson County metro government (balance), KY","617,638"
29,"Baltimore, MD","593,490"
30,"Milwaukee, WI","590,157"
31,"Albuquerque, NM","560,513"
32,"Tucson, AZ","548,073"
33,"Fresno, CA","531,576"
34,"Mesa, AZ","518,012"
35,"Sacramento, CA","513,624"
36,"Atlanta, GA","506,811"
37,"Kansas City, MO","495,327"
38,"Colorado Springs, CO","478,221"
39,"Omaha, NE","478,192"
40,"Raleigh, NC","474,069"
41,"Miami, FL","467,963"
42,"Long Beach, CA","462,628"
43,"Virginia Beach, VA","449,974"
44,"Oakland, CA","433,031"
45,"Minneapolis, MN","429,606"
46,"Tulsa, OK","401,190"
47,"Tampa, FL","399,700"
48,"Arlington, TX","398,854"
49,"New Orleans, LA","390,144"
50,"Wichita, KS","389,938"
51,"Bakersfield, CA","384,145"
52,"Cleveland, OH","381,009"
53,"Aurora, CO","379,289"
54,"Anaheim, CA","350,365"
55,"Urban Honolulu CDP, HI","345,064"
56,"Santa Ana, CA","332,318"
57,"Riverside, CA","331,360"
58,"Corpus Christi, TX","326,586"
59,"Lexington-Fayette urban county, KY","323,152"
60,"Henderson, NV","320,189"
61,"Stockton, CA","312,697"
62,"St. Paul, MN","308,096"
63,"Cincinnati, OH","303,940"
64,"St. Louis, MO","300,576"
65,"Pittsburgh, PA","300,286"
66,"Greensboro, NC","296,710"
67,"Lincoln, NE","289,102"
68,"Anchorage municipality, AK","288,000"
69,"Plano, TX","287,677"
70,"Orlando, FL","287,442"
71,"Irvine, CA","287,401"
72,"Newark, NJ","282,011"
73,"Durham, NC","278,993"
74,"Chula Vista, CA","274,492"
75,"Toledo, OH","272,779"
76,"Fort Wayne, IN","270,402"
77,"St. Petersburg, FL","265,351"
78,"Laredo, TX","262,491"
79,"Jersey City, NJ","262,075"
80,"Chandler, AZ","261,165"
81,"Madison, WI","259,680"
82,"Lubbock, TX","258,862"
83,"Scottsdale, AZ","258,069"
84,"Reno, NV","255,601"
85,"Buffalo, NY","255,284"
86,"Gilbert town, AZ","254,114"
87,"Glendale, AZ","252,381"
88,"North Las Vegas, NV","251,974"
89,"Winston-Salem, NC","247,945"
90,"Chesapeake, VA","244,835"
91,"Norfolk, VA","242,742"
92,"Fremont, CA","241,110"
93,"Garland, TX","239,928"
94,"Irving, TX","239,798"
95,"Hialeah, FL","233,339"
96,"Richmond, VA","230,436"
97,"Boise City, ID","228,959"
98,"Spokane, WA","222,081"
99,"Baton Rouge, LA","220,236"
100,"Tacoma, WA","217,827"
101,"San Bernardino, CA","215,784"
102,"Modesto, CA","215,196"
